image,sentiment,confidence,explanation
id_1124432566583476225_2019-05-03.jpg,negative,0.8,The image shows a group of people holding signs and protesting about climate change. The signs have negative messages about the climate crisis. The people in the image look concerned and serious.
id_1086603442175524864_2019-01-19.jpg,neutral,0.9,The image shows a man in a military cap looking to the right. His expression is neutral.
id_1129534649271668736_2019-05-17.jpg,neutral,0.8,"The image shows a woman casting her vote in a ballot box. There are no obvious signs of happiness or sadness in the image, so the sentiment is classified as neutral."
id_1135156909064040449_2019-06-02.jpg,negative,0.9,The image shows the words 'oi Trump' mowed into a field. The words are surrounded by people lying down in the field. The image is taken from an aerial perspective.
id_1162779931652362243_2019-08-17.jpg,positive,0.6,"The image shows a group of people holding a red flag with a symbol on it. The people are wearing red and have their faces painted white. They are standing in a field and there are trees and a blue sky in the background. The image is likely a reference to the Extinction Rebellion protests, which are a series of protests that have been taking place around the world in order to raise awareness of the climate crisis. The image is positive because it shows people coming together to take action on climate change."
id_1150772362054230016_2019-07-15.jpg,positive,0.6,The image shows two company logos with a plus sign between them. The colors are bright and the overall tone is positive.
id_1137514915328139275_2019-06-09.jpg,neutral,0.6,The image shows a picture of Donald Trump with a neutral facial expression.
id_1158362742308376577_2019-08-05.jpg,negative,0.9,The text is about the benefits of global warming. The author uses sarcasm and profanity to express his opinion.
id_1145430824780738565_2019-06-30.jpg,negative,0.9,"The image is a photo of a woman with a piece of poop covering her mouth, which is a clear sign of disgust or contempt."
id_1161617157014392832_2019-08-14.jpg,negative,0.8,"The image is of a character from The Simpsons, who is saying 'So, you want a totally down-to-earth, non-expert everyman...'. This is a negative statement, as it is implying that the person being referred to is not an expert and is therefore not qualified to do the job. The confidence score is 0.8 because the statement is not 100% negative, as it does not explicitly say that the person is not qualified."
id_1166566963507867648_2019-08-28.jpg,positive,0.9,The image shows a woman and a man swinging on a rope. The woman is smiling and has her arms outstretched. The man is also smiling. The background is a blur of scaffolding. The image is positive because it shows people having fun and enjoying themselves.
id_1164781191855083520_2019-08-23.jpg,negative,0.9,"Dolores Huerta, a civil rights activist, was arrested while protesting for a raise for home care workers. She was arrested in handcuffs."
id_1211707782438760453_2019-12-30.jpg,negative,0.9,"Greta Thunberg is expressing her frustration and disappointment with world leaders who are not taking action on climate change. She feels that they are not listening to scientists and experts, and that they are therefore not taking the issue seriously."
id_1176587247434555393_2019-09-24.jpg,negative,0.9,"The image is critical of the double standards that are applied to Greta Thunberg and other young climate activists, who are often subjected to intense criticism and scrutiny, while other young people, such as the boy in the image, who are involved in conservative or right-wing activism, are often praised and celebrated."
id_1159964275856879617_2019-08-09.jpg,negative,0.8,"The image shows a man shooting at an iceberg. This is likely to be seen as a negative act, as icebergs are important for the environment and should not be harmed."
id_1162779931652362243_2019-08-17.jpg,neutral,0.8,"The image shows a group of people dressed in red robes and wearing white masks. They are standing on a hill and waving red flags. The background is a blue sky with white clouds. The image is visually striking, but it is not clear what the people are doing or what they are protesting. Therefore, the sentiment of the image is neutral."
id_1150772362054230016_2019-07-15.jpg,positive,0.6,The image shows two company logos with a plus sign between them. The colors are bright and the overall tone is positive.
id_1183688483921104896_2019-10-14.jpg,negative,0.6,"The image is of a politician giving a speech. The politician is looking stern and the background is blue, which are both negative colors. The text on the screen says 'Stronger for Scotland', which is a positive message. However, the overall sentiment of the image is negative because of the politician's expression and the blue background."
id_1178772405478678535_2019-09-30.jpg,negative,0.8,The image is about Boris Johnson's attempt to block FM from Scottish conference. The headline is negative and the article is likely to be critical of Boris Johnson.
id_1179280130805514240_2019-10-02.jpg,neutral,0.8,"The man in the image is looking at the camera with a neutral expression. He is holding a crystal ball in his hands. The image is black and white, which makes it difficult to determine the man's emotions. However, the overall tone of the image is neutral."
id_1137514915328139275_2019-06-09.jpg,neutral,0.6,The image shows a picture of Donald Trump with a neutral facial expression. It is difficult to determine the sentiment of the image based on the facial expression alone.
id_1158362742308376577_2019-08-05.jpg,negative,0.8,The text is about the benefits of global warming. The author uses sarcasm and profanity to express his opinion.
id_1161617157014392832_2019-08-14.jpg,negative,0.8,"The image is of a character from The Simpsons, who is saying 'So, you want a totally down-to-earth, non-expert everyman...'. This is a negative statement, as it is implying that the person being described is not very knowledgeable or experienced."
id_1166566963507867648_2019-08-28.jpg,positive,0.9,The image shows a woman and a man swinging on a rope swing. They both appear to be having fun. The woman is smiling and laughing. The man is smiling. The image is bright and colorful. The overall tone of the image is positive.
id_1211707782438760453_2019-12-30.jpg,negative,0.9,"Greta Thunberg is expressing her frustration and disappointment with world leaders who are not taking action on climate change. She is specifically criticizing President Trump, who has repeatedly ignored scientific evidence and expert advice on climate change."
id_1182252450528600074_2019-10-10.jpg,negative,0.9,The image shows a man being arrested on a plane. The man is likely to be in trouble and the other passengers are likely to be scared or upset.
id_1177008994444959744_2019-09-25.jpg,negative,1.0,The image is about climate change. The text on the image says that the government should not tell children that there is a climate emergency. The image also says that climate change is a hoax. The overall sentiment of the image is negative.
id_1178791237702373377_2019-09-30.jpg,negative,0.9,"The image is a carton of milk with a picture of a politician on it. The text on the carton says 'Missing' and 'Have you seen our senator?' This suggests that the senator is missing and that the person who created the image is looking for him. The image is likely intended to be humorous, but it could also be seen as a criticism of the senator."
id_1176587247434555393_2019-09-24.jpg,negative,0.9,"The image is a political meme comparing two children. The text implies that one child is unfairly criticized more than the other, which is a negative sentiment."
id_1191719329831669761_2019-11-05.jpg,negative,0.8,The image shows a polluted river with three women standing in it. The women are surrounded by foam and look unhappy. The image is a clear example of environmental degradation and the negative impact it can have on people's lives.
id_1204162807551418369_2019-12-09.jpg,negative,0.9,"The image contains a lot of negative words such as 'broke', 'fake news', 'blames', 'problems', 'shortcomings', 'spoiled', 'know-it-all', and 'slap'. The overall tone of the image is negative."
id_1162779931652362243_2019-08-17.jpg,negative,0.8,"The image shows a group of people dressed in red and wearing masks, holding a flag with a symbol that is often associated with anarchy. The people in the image are standing in a field, with a blue sky and white clouds in the background. The image is likely a reference to the Extinction Rebellion protests, which are a series of protests that have been taking place around the world in response to climate change. The protests are often characterized by the use of red clothing and masks, and the symbol of anarchy. The image is likely intended to be a call to action for people to join the protests and fight for climate change."
id_1150772362054230016_2019-07-15.jpg,neutral,1.0,"The image is a logo, which is usually neutral."
id_1155145067704856576_2019-07-27.jpg,negative,0.8,"The image shows a person putting on a clown wig, which is often associated with sadness and being a 'clown' in a negative sense."
id_1183688483921104896_2019-10-14.jpg,neutral,0.6,The image is of a politician giving a speech. The politician is in front of a blue background with a screen behind her showing a live feed of her speech. The politician is speaking in front of a crowd of people. The image is well lit and the politician is clearly visible. The sentiment of the image is neutral because it is not possible to tell from the image whether the politician is giving a positive or negative speech.
id_1176963203311505408_2019-09-25.jpg,negative,0.9,"The image shows a picture of Donald Trump with a frown on his face and a picture of Greta Thunberg looking at him with a stern expression. The image is captioned with the text, 'When you're trying to talk about climate change but the president doesn't believe in it'. This image is clearly intended to criticize Donald Trump's stance on climate change."
id_1170665357440368640_2019-09-08.jpg,negative,0.6,"The image shows two people, Mick Jagger and Donald Trump. Mick Jagger is a rock star and Donald Trump is a politician. The image is a split screen with Mick Jagger on the left and Donald Trump on the right. Both are shown with their mouths open and holding microphones.  Mick Jagger is shown in a black leather jacket with his signature long hair, while Donald Trump is shown in a suit and tie. The image is likely a commentary on the two men, who are often seen as polar opposites. Mick Jagger is a liberal and Donald Trump is a conservative. The image is likely intended to highlight the differences between the two men."
id_1182370038449393665_2019-10-10.jpg,negative,0.8,"The image is a tweet that is critical of Greta Thunberg. The tweet states that she is right about a few things, but that she is also wrong about some things. The tweet also states that she is not the person who has stolen her dreams, but rather the people who have given her empty words."
id_1179280130805514240_2019-10-02.jpg,neutral,0.8,"The man in the image is looking at the camera with a neutral expression. He is holding a crystal ball in his hands. The image is black and white, which makes it difficult to determine the man's emotions. However, the overall tone of the image is neutral."
id_1211982843913605120_2019-12-31.jpg,negative,1.0,"The tweet is about the story of CO2 as a driver of catastrophic climate change. The author of the tweet is sarcastic and says that it is more than a story, it is a conspiracy to get us to reduce our energy consumption, grow less food and starve to death while freezing in the dark. The author of the tweet also says that this is pure evil."
id_1178026054558081031_2019-09-28.jpg,negative,0.9,"The image is a protest sign that expresses the concern that the planet is being destroyed. The sign is written in a humorous way, but the message is serious."
id_1195355527137693697_2019-11-15.jpg,positive,0.6,The article discusses Bernie Sanders' plan to address global warming. The plan involves investing $16 trillion in renewable energy and creating millions of jobs. The article is positive because it highlights the potential benefits of the plan.
id_1191044649244381185_2019-11-03.jpg,negative,0.8,"The image shows two men, one of whom is Donald Trump, looking at each other with stern expressions. The other man is Gavin Newsom, the governor of California, who has been critical of Trump. The image is likely to be interpreted as negative because it suggests that there is tension between the two men."
id_1207290178244661254_2019-12-18.jpg,neutral,0.5,The image does not express any clear positive or negative sentiment.
id_1204382810351558657_2019-12-10.jpg,negative,0.8,"The image is a political cartoon about climate change. The cartoonist is skeptical about the claims that climate change is a hoax, and he suggests that even if it is a hoax, it would still be beneficial to take action to create a better world. The cartoon is critical of the inaction of world leaders on climate change."
id_1186636524579885058_2019-10-22.jpg,positive,0.6,The image shows a beautiful garden with a fountain and a sculpture of a woman made of flowers. The colors are vibrant and the suasana is peaceful. The image is likely to make people feel happy and relaxed.
